DATE,LRUN64TTUSQ156S
1970-01-01,4.16149519550747
1970-04-01,4.76945048384891
1970-07-01,5.32681349324255
1970-10-01,5.89547079337718
1971-01-01,5.97816473164335
1971-04-01,5.98678671905685
1971-07-01,6.14087207426287
1971-10-01,6.04416653839392
1972-01-01,5.8520163200964
1972-04-01,5.75726167275888
1972-07-01,5.70684712709623
1972-10-01,5.36879020360648
1973-01-01,5.02904779614781
1973-04-01,4.99492437176219
1973-07-01,4.91201589582231
1973-10-01,4.83625938185426
1974-01-01,5.14396719321408
1974-04-01,5.2553149738295
1974-07-01,5.73326758800257
1974-10-01,6.68781378149054
1975-01-01,8.36530183772198
1975-04-01,8.9025295310329
1975-07-01,8.58940560702896
1975-10-01,8.3834936921211
1976-01-01,7.85123336168468
1976-04-01,7.60659164692956
1976-07-01,7.80284911168358
1976-10-01,7.8694032401723
1977-01-01,7.60719198380884
1977-04-01,7.16448755056819
1977-07-01,6.97052022643262
1977-10-01,6.70320964020426
1978-01-01,6.38566887313216
1978-04-01,6.03154022709933
1978-07-01,6.09775328925495
1978-10-01,5.97584164683956
1979-01-01,5.9226109553058
1979-04-01,5.77822512039754
1979-07-01,5.96066587029273
1979-10-01,6.06048793192092
1980-01-01,6.38208238977511
1980-04-01,7.40591553194014
1980-07-01,7.78684240825893
1980-10-01,7.58191495982292
1981-01-01,7.5248034574427
1981-04-01,7.52075269853205
1981-07-01,7.56169998541222
1981-10-01,8.44536538426728
1982-01-01,8.97318994676477
1982-04-01,9.63072277224108
1982-07-01,10.1110108693596
1982-10-01,10.9127848027563
1983-01-01,10.5471334556003
1983-04-01,10.3014467806984
1983-07-01,9.48821468827008
1983-10-01,8.73844983753256
1984-01-01,7.98093509950164
1984-04-01,7.61991540930359
1984-07-01,7.54991119822249
1984-10-01,7.41490850517001
1985-01-01,7.37834777302984
1985-04-01,7.3948696554049
1985-07-01,7.29858097353833
1985-10-01,7.17971987512884
1986-01-01,7.11775165895681
1986-04-01,7.2924100297954
1986-07-01,7.07683189647244
1986-10-01,6.95341595300695
1987-01-01,6.72798969865999
1987-04-01,6.39628121399778
1987-07-01,6.09568529371263
1987-10-01,5.95776322690568
1988-01-01,5.80534803003201
1988-04-01,5.57584318782568
1988-07-01,5.56329882898759
1988-10-01,5.42364472122739
1989-01-01,5.27791967868551
1989-04-01,5.32740246673921
1989-07-01,5.34321820571992
1989-10-01,5.43599969798466
1990-01-01,5.40217844828634
1990-04-01,5.45194596056996
1990-07-01,5.74804411881349
1990-10-01,6.19012040743322
1991-01-01,6.69955568598209
1991-04-01,6.93862469405086
1991-07-01,6.92690620589527
1991-10-01,7.21857592778683
1992-01-01,7.50846721334988
1992-04-01,7.67529662726706
1992-07-01,7.72187067107646
1992-10-01,7.55848256266688
1993-01-01,7.24818512438818
1993-04-01,7.1884127274101
1993-07-01,6.9092940516215
1993-10-01,6.76602033011756
1994-01-01,6.64243235374588
1994-04-01,6.25205682657102
1994-07-01,6.05820345821718
1994-10-01,5.67585340868472
1995-01-01,5.52580787330687
1995-04-01,5.74524747572195
1995-07-01,5.71660863616845
1995-10-01,5.62325368148951
1996-01-01,5.60962150170353
1996-04-01,5.53935645524398
1996-07-01,5.33321511677782
1996-10-01,5.34904036561567
1997-01-01,5.29825693969547
1997-04-01,5.04582352840101
1997-07-01,4.91140649165664
1997-10-01,4.70523670530194
1998-01-01,4.72260304636787
1998-04-01,4.47410952862813
1998-07-01,4.57266765572968
1998-10-01,4.42680642489464
1999-01-01,4.34085794409854
1999-04-01,4.29019285402913
1999-07-01,4.27132559443012
1999-10-01,4.1049445104212
2000-01-01,4.08966496229953
2000-04-01,3.98473148027387
2000-07-01,4.0566766962065
2000-10-01,3.95028613051039
2001-01-01,4.29486123948764
2001-04-01,4.49114043677521
2001-07-01,4.86696295619448
2001-10-01,5.59183876732326
2002-01-01,5.80233714810286
2002-04-01,5.91564124431849
2002-07-01,5.78035647350254
2002-10-01,5.93809727849673
2003-01-01,5.95638829064349
2003-04-01,6.22560810356541
2003-07-01,6.14725549882405
2003-10-01,5.93861714337427
2004-01-01,5.7773694720217
2004-04-01,5.65169907817618
2004-07-01,5.48489687555392
2004-10-01,5.48240855328791
2005-01-01,5.3365106335382
2005-04-01,5.17916785868619
2005-07-01,5.03220027739435
2005-10-01,5.0209913886434
2006-01-01,4.79583160434526
2006-04-01,4.74620485973541
2006-07-01,4.70255891305269
2006-10-01,4.51548304496351
2007-01-01,4.58088454709372
2007-04-01,4.56479284447944
2007-07-01,4.7171409098676
2007-10-01,4.86376759268624
2008-01-01,5.01672736385307
2008-04-01,5.4156290993378
2008-07-01,6.11086133491994
2008-10-01,6.99777811996656
2009-01-01,8.39683606718974
2009-04-01,9.39551977420277
2009-07-01,9.7419191739351
2009-10-01,10.0948714323514
2010-01-01,9.95861914470034
2010-04-01,9.84534906230382
2010-07-01,9.60893640699939
2010-10-01,9.7093886366471
2011-01-01,9.16630922533274
2011-04-01,9.21772965418347
2011-07-01,9.11462684502452
2011-10-01,8.81730507916816
2012-01-01,8.35338032441151
2012-04-01,8.28003387576874
2012-07-01,8.1063415980059
2012-10-01,7.98147708791518
2013-01-01,7.79049152927417
2013-04-01,7.6823366157564
2013-07-01,7.40438068311029
2013-10-01,7.11599276671164
2014-01-01,6.73269129228271
2014-04-01,6.30473433802715
2014-07-01,6.16519074405952
2014-10-01,5.82832430941208
2015-01-01,5.61339873087235
2015-04-01,5.51937980279733
2015-07-01,5.18839304046401
2015-10-01,5.16168376269049
2016-01-01,5.00915484423785
2016-04-01,4.98230338162968
2016-07-01,4.95298225098308
2016-10-01,4.83665876028453
2017-01-01,4.6512562119468
2017-04-01,4.40108695043029
2017-07-01,4.38076882365019
2017-10-01,4.1834245483649
2018-01-01,4.14301794313595
2018-04-01,3.96550764801048
2018-07-01,3.79608821784477
2018-10-01,3.84628390157352
2019-01-01,3.92785837358807
2019-04-01,3.64789182215217
2019-07-01,3.6701308531009
2019-10-01,3.61512948098953
2020-01-01,3.94562453861751
2020-04-01,13.2444337474473
2020-07-01,8.69092588044152
2020-10-01,6.98912926259605
2021-01-01,6.24865265007169
2021-04-01,5.95305995950818
2021-07-01,5.11209427963316
